name,rating,reviews,host_name,address,amenities,price,country,bathrooms,beds,guests,toiles,bedrooms,studios,checkin,checkout
Perla bungalov,4.71,64,Mehmetcan,"Kartepe, Kocaeli, Turkey","Mountain view,Valley view,Lake access,Kitchen,Wifi,Free parking on premises,Pets allowed,TV,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",8078, Turkey,1,1,2,0,2,0,12:00:00,12:00:00
Authentic Beach Architect Sheltered Villa with Pool and Jacuzzi,New,0,Fatih,"Kaş, Antalya, Turkey","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Private hot tub,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4665, Turkey,2,2,4,0,2,0,16:00:00,10:00:00
cottages sataplia,4.85,68,Giorgi,"Imereti, Georgia","Mountain view,Kitchen,Wifi,Dedicated workspace,Free driveway parking on premises,Pets allowed,40"" HDTV with cable/satellite TV,Lift,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",5991, Georgia,1,3,4,0,1,0,13:00:00,12:00:00
Sapanca Breathable Bungalow,5.0,13,Melih,"Sapanca, Sakarya, Turkey","Mountain view,Valley view,Kitchen,Wifi,Free parking on premises,Private pool,42"" HDTV with Netflix,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",11339, Turkey,1,2,4,0,1,0,14:00:00,12:00:00
Bungalov Ev 2,New,0,Arp Sapanca,"Sapanca, Sakarya, Turkey","Kitchen,Wifi,Free parking on premises,TV,Air conditioning,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",6673, Turkey,1,1,2,0,1,0,14:00:00,12:00:00
CasaMia White Suite Treehouse,New,0,Casamia,"Sapanca, Sakarya, Turkey","Lake view,Mountain view,Waterfront,Wifi,Dedicated workspace,Free parking on premises,Private pool,HDTV with Netflix,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",14729, Turkey,1,2,2,0,1,0,14:00:00,12:00:00
Ladin Bungalow,New,0,Stephen,"Kaş, Antalya, Turkey","Garden view,Mountain view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Pets allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",12312, Turkey,1,1,2,0,1,0,15:00:00,11:00:00
Lavender House,New,0,Caner,"Akçalı, Giresun, Turkey","Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Indoor fireplace,Hair dryer,Fire pit,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",13655, Turkey,1,2,8,0,1,0,12:00:00,12:00:00
Prince's,New,0,Tu,"Thành phố Đà Lạt, Lâm Đồng, Vietnam","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV,Washing machine,Dryer,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1747, Vietnam,1,1,2,0,1,0,13:00:00,11:00:00
"The Cottage, Private Pool Villa",4.67,3,Sukanya,"Tambon Bang Kachai, Chang Wat Chanthaburi, Thailand","Kitchen,Wifi,Free parking on premises,Private pool,TV,Air conditioning,Breakfast,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",30486, Thailand,3,6,10,0,4,0,15:00:00,12:00:00
